
9/12/2019 : (Thursday)12:50:5
millis,Volt,Current,Power(kW),Energy(kJ),Analog Input 2,Analog Input 3,RPM,X-Accel(m/s^2),Y-Accel(m/s^2),Z-Accel(m/s^2),DIGIN_4
18800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.00,1,
19000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.00,10.04,1,
19200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
19400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.39,0.04,10.04,1,
19600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
19800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.00,10.04,1,
20000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.35,0.04,10.04,1,
20200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
20400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.43,0.04,10.04,1,
20600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.04,1,
20800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.00,1,
21000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.04,1,
21200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.00,1,
21400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.08,10.00,1,
21600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.04,1,
21800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.08,9.69,1,
22000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.35,0.08,9.96,1,
22200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.51,0.04,10.04,1,
22400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.16,9.96,1,
22600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,9.96,1,
22800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.08,10.04,1,
23000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.39,0.08,10.04,1,
23200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.75,0.08,9.92,1,
23400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.00,1,
23600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.12,10.04,1,
23800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.47,0.04,9.96,1,
24000,0.0,1.2,0.0,0,0.00,0.00,0.00,-0.27,0.04,10.04,1,
24200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.00,1,
24400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.00,1,
24600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.00,1,
24800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.00,10.04,1,
25000,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
25200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,9.96,1,
25400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.00,1,
25600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.04,10.04,1,
25800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,9.92,1,
26000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.39,0.08,10.04,1,
26200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
26400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.08,10.00,1,
26600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
26800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.08,1,
27000,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.00,1,
27200,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.04,1,
27400,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.31,0.04,9.96,1,
27600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.00,1,
27800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.20,1,
28000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.24,0.04,10.04,1,
28200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.04,1,
28400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
28600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.04,1,
28800,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.04,1,
29000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.00,1,
29200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.04,1,
29400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
29600,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.04,1,
29800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.08,9.89,1,
